T: 7.41699, {'yaw': 60.375, 'roll': -2.875, 'pitch': 7.3125}, {'ax': 6.51, 'ay': -5.99, 'az': -5.8}, {'my': 23.375, 'mz': 0.75, 'mx': -39.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 7.47998, {'yaw': 101.063, 'roll': 5.0625, 'pitch': 20.5625}, {'ax': 8.18, 'ay': 1.93, 'az': -4.57}, {'my': -6.25, 'mz': 6.875, 'mx': -44.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 7.91895, {'yaw': 107.125, 'roll': 5.9375, 'pitch': 22.625}, {'ax': 9.56, 'ay': 2.12, 'az': -5.68}, {'my': -10.6875, 'mz': 5.375, 'mx': -44.875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 7.98193, {'yaw': 117.438, 'roll': 10.5625, 'pitch': 31.1875}, {'ax': 7.03, 'ay': 3.19, 'az': -4.4}, {'my': -20.6875, 'mz': 4.6875, 'mx': -40.5625}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 8.40295, {'yaw': 119.438, 'roll': 11.0, 'pitch': 33.25}, {'ax': 9.23, 'ay': 5.05, 'az': -4.5}, {'my': -20.25, 'mz': 1.6875, 'mx': -38.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 8.46399, {'yaw': 136.188, 'roll': 20.25, 'pitch': 33.125}, {'ax': 6.6, 'ay': 6.35, 'az': -2.74}, {'my': -28.0, 'mz': 2.25, 'mx': -36.1875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 8.703, {'yaw': 139.75, 'roll': 21.5625, 'pitch': 17.5625}, {'ax': 11.04, 'ay': 5.76, 'az': -4.25}, {'my': -37.0, 'mz': 4.5625, 'mx': -24.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 8.96497, {'yaw': 83.625, 'roll': 15.125, 'pitch': 25.8125}, {'ax': 9.32, 'ay': -0.08, 'az': -6.77}, {'my': -11.0, 'mz': 15.25, 'mx': -41.375}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 9.19397, {'yaw': 66.125, 'roll': 12.8125, 'pitch': 30.4375}, {'ax': -0.13, 'ay': -2.04, 'az': -8.04}, {'my': -3.25, 'mz': 16.0, 'mx': -41.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 2, 'fully_calibrated': False}
T: 9.255, {'yaw': 35.5, 'roll': 6.3125, 'pitch': 1.4375}, {'ax': 3.18, 'ay': -8.59, 'az': -1.78}, {'my': 30.375, 'mz': 5.25, 'mx': -31.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 9.599, {'yaw': 39.0625, 'roll': 9.0625, 'pitch': -3.0}, {'ax': 7.12, 'ay': -6.54, 'az': -7.01}, {'my': 37.375, 'mz': -1.875, 'mx': -27.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 9.66296, {'yaw': 42.6875, 'roll': 5.0625, 'pitch': -13.4375}, {'ax': 5.3, 'ay': -5.09, 'az': -1.91}, {'my': 33.5625, 'mz': -6.875, 'mx': -31.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 9.88794, {'yaw': 60.4375, 'roll': 4.9375, 'pitch': -9.375}, {'ax': 7.91, 'ay': -5.6, 'az': -5.45}, {'my': 25.875, 'mz': -2.5625, 'mx': -36.0625}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 10.153, {'yaw': 79.8125, 'roll': 8.875, 'pitch': -1.25}, {'ax': 8.31, 'ay': -2.6, 'az': -7.82}, {'my': 8.0, 'mz': 9.0, 'mx': -42.75}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 10.411, {'yaw': 79.0625, 'roll': 8.5625, 'pitch': -0.375}, {'ax': 8.37, 'ay': -2.6, 'az': -6.22}, {'my': 6.5, 'mz': 10.1875, 'mx': -42.5}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 10.474, {'yaw': 57.8125, 'roll': 11.1875, 'pitch': -2.0}, {'ax': 3.11, 'ay': -6.88, 'az': -4.81}, {'my': 18.1875, 'mz': 9.0, 'mx': -38.5625}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 10.715, {'yaw': 56.3125, 'roll': 12.875, 'pitch': -2.5625}, {'ax': 3.54, 'ay': -7.08, 'az': -6.04}, {'my': 24.0, 'mz': 7.5, 'mx': -36.375}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
T: 10.778, {'yaw': 103.875, 'roll': -11.0, 'pitch': 12.5625}, {'ax': 13.92, 'ay': -6.85, 'az': -4.96}, {'my': -2.875, 'mz': -0.5625, 'mx': -43.6875}, {'system': 3, 'gyro': 0, 'accelerometer': 0, 'magnetometer': 3, 'fully_calibrated': False}
